id,value
154, 2.519E+00
186,-4.519E-01
197, 1.241E+00
263, 1.700E+00
302,-3.405E-01
303,-1.200E+00
338, 3.126E+00
474,-8.338E-01
718,-5.021E-01
764, 2.616E-01
803,-5.252E-01
1008, 1.392E-01
1028, 7.848E-01
1064,-1.327E+00
1105,-7.508E-01
1197, 8.789E-01
1263, 8.770E-01
1275,-2.574E-01
1278, 1.480E+00
1316,-4.800E-01
1418, 1.402E+00
1438, 7.682E-02
17,-1.477E-01
36,-1.359E+00
75,-1.362E+00
286, 1.571E+00
378, 1.485E+00
419, 3.671E+00
430,-1.640E+00
471,-4.197E-02
529,-1.858E+00
573,-1.359E+00
606,-1.294E+00
612, 1.978E+00
629, 1.957E+00
708, 1.246E-03
723, 1.249E+00
752, 1.556E+00
767, 2.885E+00
780,-1.465E+00
794,-1.998E+00
923, 1.520E+00
935, 1.485E+00
944,-2.846E-04
969, 1.810E+00
976,-9.705E-03
995,-1.162E-01
1130, 1.352E+00
1138, 9.842E-01
1142,-1.652E+00
1147, 1.506E+00
1187,-1.594E-01
1287,-9.503E-01
1294,-1.265E-01
1327, 1.567E+00
1341, 1.184E+00
7, 2.147E-01
88, 1.310E+00
100, 1.465E+00
133, 9.388E-01
190, 5.690E-01
194,-1.682E-01
234, 1.817E+00
275,-1.244E+00
282,-2.608E-01
335,-6.148E-01
381, 6.065E-02
414, 1.547E+00
426,-1.839E+00
519,-6.961E-01
526, 2.450E+00
554,-1.989E+00
567, 1.747E-01
602, 2.343E+00
628,-8.566E-01
655, 9.729E-01
658, 5.529E-01
692, 2.174E+00
707, 1.640E+00
751, 7.090E-01
848,-1.612E+00
853,-1.546E+00
964, 1.204E+00
1062,-7.523E-01
1195,-2.253E-01
1217,-1.195E-01
1231,-1.856E-01
1403, 3.445E+00
207, 5.410E+00
552,-6.932E+00
691, 1.948E+00
865,-5.459E-02
892,-6.503E+00
1059,-7.665E+00
1099, 6.090E+00
1106, 0.000E+00
1215,-6.540E+00
54,-2.237E+00
58,-6.195E+00
73, 2.306E+00
200, 1.973E+00
244,-2.628E+00
248, 3.982E+00
262,-6.611E+00
370,-5.067E-01
385, 4.113E+00
395,-5.964E+00
579,-8.151E-01
700,-1.930E+00
927,-2.595E+00
1075,-1.655E+00
1181,-5.263E+00
1317,-4.493E+00
1373, 4.750E+00
1460,-1.913E+00
